window,basis,n,pct_positive,mean,median,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99
1925-1955,nominal,508,0.6712598425196851,7.86325692404574,1.7051521923641182,-0.9969869378946665,169.68038382426985,-0.9956733603363958,-0.9804649110461588,-0.9481058921541441,-0.4683832187755432,1.7051521923641182,9.19585575658995,21.968032781700504,30.897384830597055,85.1602075138753
1925-1955,real (CPI-adj),508,0.6791338582677166,5.051620469407748,1.2608165270827112,-0.9961475848796093,112.99921158412064,-0.9947499770527798,-0.9800432767657741,-0.9390298759745623,-0.5821606248379528,1.2608165270827112,5.840591019352545,14.340589059419369,20.30459658461518,56.54730277978985
1955-1985,nominal,1050,0.8819047619047619,13.832745417531415,4.513816285420124,-0.9999665188938465,859.2259553774569,-0.8792967273189162,-0.3981983234513087,-0.10564253303004759,0.8762368284085152,4.513816285420124,17.131335473873392,34.022186928583,50.91524807985498,113.38047832512979
1955-1985,real (CPI-adj),1050,0.7980952380952381,3.4361658216125908,1.6044144236858475,-0.9999854335447254,209.924570943421,-0.9506957298286315,-0.6896512590974136,-0.4502925612162506,0.20960470633332468,1.6044144236858475,4.08260743684737,8.525017105450745,12.42163873944528,27.19594848488896
1985-2015,nominal,6298,0.5611305176246427,5.7816811089575335,0.2499996249999501,-0.9999974193574023,841.108074981615,-0.9950063431632371,-0.9751987586876355,-0.9405437010648513,-0.7114470132529698,0.2499996249999501,2.781669137182429,13.238301793888231,26.242150648499596,89.20071246188112
1985-2015,real (CPI-adj),6298,0.5181009844395046,2.6300056558908946,0.058483816893519225,-0.9999978566547422,406.8592496875576,-0.9970483577673913,-0.9826570383152298,-0.9553787033816861,-0.7733568067021472,0.058483816893519225,1.6223195390280285,6.468799510007106,12.513986502903686,43.796320824790605
