analysis,horizon,window,basis,n_periods,n_permnos,pct_positive,mean,median,min,max,avg_realized_months,pct_complete,pct_delisted,pct_sample_end,pct_sparse,p1,p5,p10,p25,p50,p75,p90,p95,p99
calendar_window,10y,1925-1935,nominal,508,508,0.4074803149606299,0.32938295684462904,-0.23918528204452377,-0.9962406259797981,25.996736169487537,106.36220472440945,0.7795275590551181,0.2204724409448819,0.0,0.0,-0.9923739940066122,-0.968349635447526,-0.9310767467244521,-0.7537877073074108,-0.23918528204452377,0.6869104590554138,2.1570598311376714,3.3403857546164715,7.12673204192764
calendar_window,10y,1925-1935,real (CPI-adj),508,508,0.4881889763779528,0.6878512135880213,-0.06599624222280942,-0.9950881171560866,34.01750561114691,106.36220472440945,0.7795275590551181,0.2204724409448819,0.0,0.0,-0.9894398864106569,-0.9584073697507899,-0.9117035501987953,-0.6850893478304151,-0.06599624222280942,1.0482034552716768,3.0758839238026328,4.62992065272716,9.541195909456869
calendar_window,10y,1935-1945,nominal,717,717,0.8758716875871687,2.062924567561397,1.4006242487579965,-0.9692307868010321,77.88011843734468,110.62482566248256,0.8688981868898187,0.13110181311018132,0.0,0.0,-0.9258770184041765,-0.5887705876548314,-0.17297027112605537,0.6068870743498587,1.4006242487579965,2.662156280487159,4.469346591119294,5.963706515379563,10.414031538768151
calendar_window,10y,1935-1945,real (CPI-adj),717,717,0.8382147838214784,1.3437723407845095,0.8380963687503336,-0.9696703469895888,58.81019969425041,110.62482566248256,0.8688981868898187,0.13110181311018132,0.0,0.0,-0.9295243999936674,-0.6238727069133823,-0.3077887973796895,0.2505217497944707,0.8380963687503336,1.7767998170726833,3.1723230453965026,4.397906647925492,7.654595342582443
calendar_window,10y,1945-1955,nominal,852,852,0.8849765258215962,2.448438133264641,1.648657845813514,-0.9514932631339111,21.34047513494389,116.42370892018779,0.9178403755868545,0.08215962441314555,0.0,0.0,-0.7804956051425005,-0.41157275350068506,-0.038293071333465135,0.623548954198303,1.648657845813514,3.454653032299042,6.002407180084564,7.907372719740429,12.605183706118689
calendar_window,10y,1945-1955,real (CPI-adj),852,852,0.7887323943661971,1.3468156587201021,0.7987154027539544,-0.967058857799895,14.171516696118617,116.42370892018779,0.9178403755868545,0.08215962441314555,0.0,0.0,-0.8509335825967729,-0.6003964221534505,-0.3452765205660813,0.10547161526929,0.7987154027539544,2.0457169556485475,3.7553660700574287,5.049036697734165,8.239341173558202
calendar_window,10y,1955-1965,nominal,1050,1050,0.8904761904761904,2.032958730996878,1.5290427221018208,-0.9444446010681132,21.814004318232236,107.78952380952381,0.7904761904761904,0.20952380952380953,0.0,0.0,-0.6790725640540723,-0.2856814400447943,-0.02700155372675205,0.5584093127223744,1.5290427221018208,2.786406455464032,4.268585979659938,5.935721183213224,12.42832947103402
calendar_window,10y,1955-1965,real (CPI-adj),1050,1050,0.8580952380952381,1.5746908381595062,1.1407243898821482,-0.9511841084795225,18.226896721025906,107.78952380952381,0.7904761904761904,0.20952380952380953,0.0,0.0,-0.724828010721635,-0.3818816281161192,-0.129380391396871,0.35017350650333323,1.1407243898821482,2.1917877618645982,3.4401919577008226,4.845198984594793,10.316956912695348
calendar_window,10y,1965-1975,nominal,2168,2168,0.5927121771217713,0.5279004057908074,0.16795190100233892,-1.0,17.624025753225546,95.65867158671587,0.6706642066420664,0.32933579335793356,0.0,0.0,-0.9230978452983959,-0.7998016004278932,-0.6727169919304076,-0.31235510890870183,0.16795190100233892,0.8532466225667601,1.8590222522064845,2.927059745454957,7.317430351829508
calendar_window,10y,1965-1975,real (CPI-adj),2168,2168,0.37961254612546125,0.02864049583200129,-0.2348317400394851,-1.0,16.367859793330574,95.65867158671587,0.6706642066420664,0.32933579335793356,0.0,0.0,-0.9530969247510136,-0.8774265327935299,-0.8028508221567825,-0.5849998184215897,-0.2348317400394851,0.31199774586453816,0.9334919556756569,1.6236270839054758,4.221800352965287
