analysis,horizon,window,basis,n_periods,n_permnos,pct_positive,mean,median,min,max,avg_realized_months,pct_complete,pct_delisted,pct_sample_end,pct_sparse,p1,p5,p10,p25,p50,p75,p90,p95,p99,convention
first_month_sensitivity,10y,,nominal,49454,28950,0.5732195575686496,1.2894006914387859,0.23704365842650166,-1.0,707.6741543767299,83.65379949043556,0.4705180571844542,0.5294819428155457,0.0,0.00014154567881263395,-0.9964146315884469,-0.9750000211204786,-0.9358849211038479,-0.6349666664254652,0.23704365842650166,1.6388048854367625,4.004291277274117,6.462035730308448,15.766861276145965,include first observed return
first_month_sensitivity,10y,,real (CPI-adj),49454,28950,0.4989889594370526,0.7093997949361865,-0.0023529411764707797,-1.0,533.8642610639546,83.65379949043556,0.4705180571844542,0.5294819428155457,0.0,0.00014154567881263395,-0.9969576143761633,-0.9795070089821443,-0.9467755655683038,-0.7127703717525623,-0.0023529411764707797,1.0214628865683069,2.681224816242419,4.391586288867657,10.907619476464147,include first observed return
first_month_sensitivity,30y,,nominal,29522,27420,0.509992547930357,5.874148726036563,0.029109953343148476,-1.0,1917.4193064006886,128.1120181559515,0.10903732809430255,0.8909626719056974,0.0,0.00020323826299031232,-0.9988467548315976,-0.9878730613846111,-0.969999977913599,-0.8396228200516094,0.029109953343148476,2.125000799401307,10.97668028445757,26.437721058792302,103.80499945681751,include first observed return
first_month_sensitivity,30y,,real (CPI-adj),29522,27420,0.44011245850552133,1.9802639660821515,-0.18536430179935204,-1.0,491.78828353066643,128.1120181559515,0.10903732809430255,0.8909626719056974,0.0,0.00020323826299031232,-0.9992781055442154,-0.9909122209163678,-0.977067871331796,-0.879973804484901,-0.18536430179935204,1.1200874540334076,4.6494733931541194,9.853834181611013,36.91909475566359,include first observed return
first_month_sensitivity,full-life,,nominal,31565,31565,0.4811658482496436,293.8302353598292,-0.07353076277469595,-1.0,4421136.334387062,139.5837478219547,,,,0.00022176461270394425,-0.9998100510392466,-0.9915118388643855,-0.9755774233442079,-0.8636620286984595,-0.07353076277469595,1.797715653937317,10.81108809040313,39.09218054886095,705.5015565608372,include first observed return
first_month_sensitivity,full-life,,real (CPI-adj),31565,31565,0.4132108347853635,19.481483219786185,-0.29348059888449163,-1.0,245576.81116408674,139.5837478219547,,,,0.00022176461270394425,-0.9998617936073312,-0.9936809049402562,-0.9817369250512696,-0.8990587354566713,-0.29348059888449163,0.9514908136669185,4.8617889944792525,13.243091496397735,114.55841089219255,include first observed return
first_month_sensitivity,10y,,nominal,49419,28915,0.5750622230316275,1.2821086034030045,0.23841665097834563,-1.0,677.1934289078932,83.71233736012465,0.4708512920131933,0.5291487079868067,0.0,0.00014164592565612416,-0.9963668874630229,-0.9748051438035071,-0.9342291494701059,-0.6321176641864595,0.23841665097834563,1.6397138719094442,4.0022606361622275,6.436758852784638,15.749012269065892,skip first observed return
first_month_sensitivity,10y,,real (CPI-adj),49419,28915,0.5000505878305914,0.7057623252139521,0.00015338088975735964,-1.0,513.2698986979293,83.71233736012465,0.4708512920131933,0.5291487079868067,0.0,0.00014164592565612416,-0.9969126297957143,-0.9789945639806654,-0.945347121037094,-0.7097107837273642,0.00015338088975735964,1.0217342907942577,2.6760368599128586,4.360431739560752,10.867551638273099,skip first observed return
first_month_sensitivity,30y,,nominal,29487,27385,0.5125648590904467,5.862685618683326,0.033929496425858074,-1.0,1437.8148395042297,128.26289551327704,0.10916675144979143,0.8908332485502085,0.0,0.00020347949944043138,-0.9988388785270469,-0.9875020881172357,-0.9693974225292961,-0.833881264818471,0.033929496425858074,2.110213239122246,10.918105350718623,26.339941975783873,103.35266734975798,skip first observed return
first_month_sensitivity,30y,,real (CPI-adj),29487,27385,0.4417539932851765,1.9804902910344866,-0.1814029323740589,-1.0,496.5933697189386,128.26289551327704,0.10916675144979143,0.8908332485502085,0.0,0.00020347949944043138,-0.9992691037007235,-0.9908411937297972,-0.976579802491481,-0.8767487930952677,-0.1814029323740589,1.1245337237379858,4.635351778681322,9.769476469977665,36.36743274061017,skip first observed return
first_month_sensitivity,full-life,,nominal,31501,31501,0.48395289038443223,294.8167934569302,-0.06564105945936693,-1.0,4421136.334387062,139.86530586330593,,,,0.00022221516777245167,-0.9997944450539202,-0.9914383483101812,-0.9750166029167865,-0.8606064354422495,-0.06564105945936693,1.7988299338662954,10.800010446259995,39.59415131139993,731.372621882321,skip first observed return
first_month_sensitivity,full-life,,real (CPI-adj),31501,31501,0.4150979333989397,19.480428477141512,-0.28797291704395833,-1.0,244212.48999095315,139.86530586330593,,,,0.00022221516777245167,-0.9998498878288551,-0.9936336498698454,-0.9810730269135278,-0.8961756045617568,-0.28797291704395833,0.9547637573610472,4.815602856693046,13.369560274018605,115.13743361588963,skip first observed return
