analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
stock_anchored,10y,120,,2,81488,200503,201502,200612,22,22,0,False,delisted,True,-0.28294208889785477,-0.3184751865738775,-0.28294208889785477,-0.3184751865738775,CR,2007-01-30,Y,MER,FPAY,UNAV,STK,CR,2007-01-30,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81489,197212,198211,197606,43,43,0,False,delisted,True,1.5000090040258587,0.8662039044136689,1.0000072032206875,0.49648426297322534,CR,1976-07-12,Y,MER,FPAY,UNAV,STK,CR,1976-07-12,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81490,199503,200502,200009,67,67,0,False,delisted,True,0.7245735909963615,0.4982046913146292,0.7074986049468925,0.4882860609611954,CR,2000-10-12,Y,MER,FPAY,UNAV,STK,CR,2000-10-12,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81491,199503,200502,200502,120,120,0,False,complete,True,0.9023921527842189,0.49672041634587494,1.3199904302246588,0.8313167421064303,CR,2007-09-28,Y,MER,FPAY,UNAV,CASH,DE,2007-09-28,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,2,81491,200503,201502,200709,31,31,0,False,delisted,True,0.36669558941732805,0.2572288443656767,0.36669558941732805,0.2572288443656767,DE,2007-09-28,Y,MER,FPAY,UNAV,CASH,DE,2007-09-28,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81492,199503,200502,199801,35,35,0,False,delisted,True,1.8723443325511635,1.6821581669676404,1.8723443325511635,1.6910453709668714,CR,1998-02-12,Y,MER,FPAY,UNAV,CASH,CR,1998-02-12,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81493,199503,200502,199810,44,44,0,False,delisted,True,-0.8636361846866145,-0.8745286601781105,-0.8548385285477813,-0.8659911781837444,CR,1998-11-09,Y,GDR,VCL,LP,PRCF,CR,1998-11-09,Y,GDR,VCL,LP,PRCF
stock_anchored,10y,120,,1,81494,199503,200502,199611,21,21,0,False,delisted,True,1.04276437882416,0.9435885546315628,1.0162347618280276,0.924703297230538,CR,1996-12-17,Y,MER,FPAY,UNAV,CASH,CR,1996-12-17,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81495,199503,200502,199702,24,24,0,False,delisted,True,2.3929583666534007,2.2080038692230453,2.2798589891311893,2.1113449307923684,CR,1997-03-12,Y,MER,FPAY,UNAV,STK,CR,1997-03-12,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,81496,199503,200502,199706,28,28,0,False,delisted,True,-0.636363080771639,-0.6576867678630087,-0.6144573165853875,-0.6358629927075959,CR,1997-07-03,Y,GDR,VCL,INSC,PRCF,CR,1997-07-03,Y,GDR,VCL,INSC,PRCF
stock_anchored,10y,120,,1,81497,197212,198211,197601,38,38,0,False,delisted,True,0.27560165853466656,-0.027239022987952,0.2873045441454931,-0.015999224349219077,CR,1976-02-09,Y,GEX,FPAY,UNAV,UNAV,CR,1976-02-09,Y,GEX,FPAY,UNAV,UNAV
