horizon,horizon_months,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,terminal_reason,included_in_summary,nominal_ret,real_ret
30y,360,1,92258,200708,203707,201511,100,100,delisted,True,1.3316414912792682,1.046385388788348
30y,360,1,92259,200708,203707,202102,163,163,delisted,True,1.2192941934046662,0.757621193115928
30y,360,1,92260,198503,201502,199701,143,143,delisted,True,-0.9399999780503284,-0.9600251267965733
30y,360,1,92261,200708,203707,202512,221,221,sample_end,False,2.516614347630103,1.2604589624301772
30y,360,1,92262,200709,203708,202208,180,180,delisted,True,-0.9027947617672936,-0.9317658750229442
30y,360,1,92263,200709,203708,202107,167,167,delisted,True,0.5105668467297904,0.15034211138750275
30y,360,1,92265,200709,203708,201201,53,53,delisted,True,-0.976249980378403,-0.9782152210216849
30y,360,1,92266,200709,203708,201206,58,58,delisted,True,-0.9384616216826746,-0.9442481246473651
30y,360,1,92268,200709,203708,201303,67,67,delisted,True,-0.08262191209928405,-0.18064850960137624
30y,360,1,92269,200709,203708,201111,51,51,delisted,True,0.5271613887071025,0.4034250661371439
30y,360,1,92276,198507,201506,198905,47,47,delisted,True,-0.8766450004327466,-0.8927867693583484
30y,360,1,92282,200709,203708,201505,93,93,delisted,True,-0.6394985007569943,-0.6848331124550752
30y,360,1,92284,198510,201509,200910,289,289,delisted,True,-0.638269098054564,-0.818780644191146
30y,360,1,92292,198410,201409,198607,22,22,delisted,True,-0.5735295061074108,-0.5910556907879281
30y,360,1,92293,200710,203709,202512,219,219,sample_end,False,0.08792086833666124,-0.3000194379696175
30y,360,1,92294,200709,203708,202512,220,220,sample_end,False,1.654531414365532,0.7030404841371904
30y,360,1,92295,200709,203708,201208,60,60,delisted,True,-0.9934931582843527,-0.9941280568424941
30y,360,1,92296,200709,203708,201901,137,137,delisted,True,2.7954929663615866,2.134864399419077
30y,360,1,92297,200709,203708,201102,42,42,delisted,True,-0.6273977801639312,-0.6499735595754418
30y,360,1,92298,200709,203708,201009,37,37,delisted,True,-0.9577999818000067,-0.9598360009715362
30y,360,1,92299,200710,203709,201209,60,60,delisted,True,0.9253975272491748,0.7348022507160665
30y,360,1,92300,200710,203709,201203,54,54,delisted,True,-0.4952394655039015,-0.541210803156011
30y,360,1,92301,200710,203709,202504,211,211,delisted,True,-0.9919594505639979,-0.9947740626960944
30y,360,1,92302,200710,203709,201601,100,100,delisted,True,0.143635807245184,0.006466704699644055
30y,360,1,92303,200710,203709,202503,210,210,delisted,True,1.7707870663301661,0.8064756404173836
30y,360,1,92304,200710,203709,201002,29,29,delisted,True,0.1571846414466873,0.11318577353446813
30y,360,1,92305,198410,201409,198606,21,21,delisted,True,1.2679723346842309e-06,-0.04109467454707627
30y,360,1,92306,200710,203709,201102,41,41,delisted,True,-0.5740204394277046,-0.5986754339890219
30y,360,1,92307,200710,203709,201102,41,41,delisted,True,-0.014201205941841932,-0.07125761464230562
30y,360,1,92308,200710,203709,201606,105,105,delisted,True,1.5125516140807815,1.1733793490480449
30y,360,1,92310,200710,203709,201302,65,65,delisted,True,0.8726638005821206,0.6817725352608563
30y,360,1,92311,200710,203709,200904,19,19,delisted,True,-0.9704834013374286,-0.9711395103116388
30y,360,1,92312,200710,203709,201208,59,59,delisted,True,-0.970238091773837,-0.9730645681023228
30y,360,1,92313,198510,201509,199101,64,64,delisted,True,-0.14772688925127664,-0.3142557362995043
30y,360,1,92314,200710,203709,202008,155,155,delisted,True,-0.7557379433609679,-0.8040588231317637
30y,360,1,92315,200710,203709,200910,25,25,delisted,True,-0.9692093298318076,-0.9703027855411626
30y,360,1,92316,200710,203709,200901,16,16,delisted,True,-0.7361706508428276,-0.7394731565845403
30y,360,1,92317,200710,203709,201011,38,38,delisted,True,0.0685740756844011,0.018257038432734962
30y,360,1,92318,200710,203709,202512,219,219,sample_end,False,1.6037194294607011,0.6752624594745151
30y,360,1,92319,200710,203709,201410,85,85,delisted,True,-0.9924583562837156,-0.9933773623934108
30y,360,1,92320,200710,203709,201610,109,109,delisted,True,2.0571426930537102,1.6368960757778312
30y,360,1,92321,198006,201005,199006,121,121,delisted,True,-0.9687499024324756,-0.9803213396380024
30y,360,1,92322,200710,203709,202512,219,219,sample_end,False,19.517758818346923,12.20135753184755
30y,360,1,92324,200710,203709,201110,49,49,delisted,True,-0.8781407366100193,-0.8877857777467154
30y,360,1,92326,200710,203709,202512,219,219,sample_end,False,3.8595120453401988,2.1266648813266644
30y,360,1,92327,200710,203709,201704,115,115,delisted,True,-0.777450514012963,-0.8102371635164759
30y,360,1,92328,200710,203709,201108,47,47,delisted,True,-0.8138460651372814,-0.8286737936441909
30y,360,1,92330,200710,203709,201101,40,40,delisted,True,0.15541088561207528,0.09390558502117252
30y,360,1,92332,200710,203709,201606,105,105,delisted,True,-0.9776370399551054,-0.9806558419445874
30y,360,1,92333,200710,203709,200908,23,23,delisted,True,0.07048257992187401,0.03410777687348032
30y,360,1,92334,200710,203709,200909,24,24,delisted,True,0.08351766796959303,0.04604565364316171
