analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,no_post_start_obs,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
calendar_window,10y,120,2015-2025,1,14088,201512,202512,202512,120,120,0,False,complete,True,False,0.6323686194193896,0.19145570709872728,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14089,201512,202512,202512,120,120,0,False,complete,True,False,-0.8584362180389765,-0.896673475629583,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14092,201512,202512,202512,120,120,0,False,complete,True,False,0.0451161675946532,-0.23717620661888128,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14093,201512,202512,202410,106,106,0,False,delisted,True,False,-0.9989555024119692,-0.9992173646915423,,,GP,2024-11-20,Y,GDR,VCL,FING,PRCF,GP,2024-11-20,Y,GDR,VCL,FING,PRCF
calendar_window,10y,120,2015-2025,1,14094,201512,202512,202304,88,88,0,False,delisted,True,False,-0.9994187871526136,-0.9995468420053597,,,CR,2023-05-12,Y,GDR,VCL,CORQ,PRCF,CR,2023-05-12,Y,GDR,VCL,CORQ,PRCF
calendar_window,10y,120,2015-2025,1,14095,201512,202512,201907,43,43,0,False,delisted,True,False,2.288862494448147,2.031902286304174,,,DE,2019-07-31,Y,MER,FPAY,UNAV,CASH,DE,2019-07-31,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,14097,201512,202512,202512,120,120,0,False,complete,True,False,0.03509102087327021,-0.2444934988858315,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14099,201512,202512,202206,78,78,0,False,delisted,True,False,0.054547834478786195,-0.15822589593334313,,,CR,2022-07-12,Y,MER,FPAY,UNAV,STK,CR,2022-07-12,Y,MER,FPAY,UNAV,STK
calendar_window,10y,120,2015-2025,1,14101,201512,202512,201610,10,10,0,False,delisted,True,False,1.8208950906201085,1.7601661832420659,,,DE,2016-10-31,Y,MER,FPAY,UNAV,CNC,DE,2016-10-31,Y,MER,FPAY,UNAV,CNC
calendar_window,10y,120,2015-2025,1,14102,201512,202512,202512,120,120,0,False,complete,True,False,1.9962515755583206,1.1869453977081954,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,14105,201512,202512,202002,50,50,0,False,delisted,True,False,-0.6992135836865283,-0.7249727185205391,,,CR,2020-03-11,Y,GDR,VCL,INSC,PRCF,CR,2020-03-11,Y,GDR,VCL,INSC,PRCF
calendar_window,10y,120,2015-2025,1,14106,201512,202512,202012,60,60,0,False,delisted,True,False,2.1210081674845305,1.834050449619839,,,DE,2020-12-31,Y,MER,FPAY,UNAV,STK,DE,2020-12-31,Y,MER,FPAY,UNAV,STK
