analysis,horizon,window,basis,n_periods,n_permnos,pct_positive,mean,median,min,max,avg_realized_months,pct_complete,pct_delisted,pct_sample_end,pct_sparse,p1,p5,p10,p25,p50,p75,p90,p95,p99
calendar_window,10y,1925-1935,nominal,508,508,0.4074803149606299,0.32938295684462904,-0.23918528204452377,-0.9962406259797981,25.996736169487537,106.36220472440945,0.7795275590551181,0.2204724409448819,0.0,0.0,-0.9923739940066122,-0.968349635447526,-0.9310767467244521,-0.7537877073074108,-0.23918528204452377,0.6869104590554138,2.1570598311376714,3.3403857546164715,7.12673204192764
calendar_window,10y,1925-1935,real (CPI-adj),508,508,0.4881889763779528,0.6878512135880213,-0.06599624222280942,-0.9950881171560866,34.01750561114691,106.36220472440945,0.7795275590551181,0.2204724409448819,0.0,0.0,-0.9894398864106569,-0.9584073697507899,-0.9117035501987953,-0.6850893478304151,-0.06599624222280942,1.0482034552716768,3.0758839238026328,4.62992065272716,9.541195909456869
calendar_window,10y,1935-1945,nominal,717,717,0.8758716875871687,2.062924567561397,1.4006242487579965,-0.9692307868010321,77.88011843734468,110.62482566248256,0.8688981868898187,0.13110181311018132,0.0,0.0,-0.9258770184041765,-0.5887705876548314,-0.17297027112605537,0.6068870743498587,1.4006242487579965,2.662156280487159,4.469346591119294,5.963706515379563,10.414031538768151
calendar_window,10y,1935-1945,real (CPI-adj),717,717,0.8382147838214784,1.3437723407845095,0.8380963687503336,-0.9696703469895888,58.81019969425041,110.62482566248256,0.8688981868898187,0.13110181311018132,0.0,0.0,-0.9295243999936674,-0.6238727069133823,-0.3077887973796895,0.2505217497944707,0.8380963687503336,1.7767998170726833,3.1723230453965026,4.397906647925492,7.654595342582443
calendar_window,10y,1945-1955,nominal,851,851,0.8860164512338425,2.451315263856021,1.6538616819687566,-0.9514932631339111,21.34047513494389,116.5605170387779,0.918918918918919,0.08108108108108109,0.0,0.0,-0.7806055215985375,-0.4120444101850083,-0.03841924719654477,0.6265517674363514,1.6538616819687566,3.461623357161217,6.0025684671381265,7.907548281969096,12.607249173313388
calendar_window,10y,1945-1955,real (CPI-adj),851,851,0.7896592244418331,1.3483982858161305,0.8022493511877384,-0.967058857799895,14.171516696118617,116.5605170387779,0.918918918918919,0.08108108108108109,0.0,0.0,-0.8510082273542308,-0.60071672631967,-0.3454951828995041,0.10957869108340157,0.8022493511877384,2.0462928748003613,3.755475600817684,5.049155922829753,8.240743841578482
calendar_window,10y,1955-1965,nominal,1048,1048,0.892175572519084,2.036838423231605,1.531218528270152,-0.9444446010681132,21.814004318232236,107.99522900763358,0.7919847328244275,0.20801526717557253,0.0,0.0,-0.679318675388201,-0.2863352044298814,-0.028093277058167273,0.5621921208768719,1.531218528270152,2.7865820815569817,4.269041848382639,5.94581770080734,12.46568264752533
calendar_window,10y,1955-1965,real (CPI-adj),1048,1048,0.8597328244274809,1.5776959733468334,1.1465683697235498,-0.9511841084795225,18.226896721025906,107.99522900763358,0.7919847328244275,0.20801526717557253,0.0,0.0,-0.7252274596725913,-0.38196655096917675,-0.129867789683937,0.3529360118105763,1.1465683697235498,2.1928712969774025,3.4405761489514015,4.8537079994225385,10.348436948228905
calendar_window,10y,1965-1975,nominal,2157,2157,0.5957348168752897,0.5305925265435655,0.17300212967146034,-1.0,17.624025753225546,96.14649976819656,0.6740843764487714,0.32591562355122855,0.0,0.0,-0.9236541985146812,-0.8005918638143453,-0.674031861090279,-0.3220976030473762,0.17300212967146034,0.8566854290621999,1.8604004083237624,2.9339865220662436,7.330789323418152
calendar_window,10y,1965-1975,real (CPI-adj),2157,2157,0.3815484469170144,0.028786553066193227,-0.2385831597341891,-1.0,16.367859793330574,96.14649976819656,0.6740843764487714,0.32591562355122855,0.0,0.0,-0.9531212986053533,-0.8782872332460495,-0.8032157537183915,-0.58575798695182,-0.2385831597341891,0.3138128563683178,0.9365114927359737,1.6310343834970262,4.231373684512297
