analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
calendar_window,30y,360,1955-1985,1,17013,195512,198512,196510,118,118,0,False,delisted,True,7.145503945670454,5.886419739557345,,,DE,1965-10-29,Y,MER,FPAY,UNAV,CNC,DE,1965-10-29,Y,MER,FPAY,UNAV,CNC
calendar_window,30y,360,1955-1985,1,17048,195512,198512,196706,138,138,0,False,delisted,True,8.025667966944631,6.263900946369862,,,CR,1967-07-28,Y,MER,FPAY,UNAV,SNC,CR,1967-07-28,Y,MER,FPAY,UNAV,SNC
calendar_window,30y,360,1955-1985,1,17056,195512,198512,196408,104,104,0,False,delisted,True,-0.767522323547378,-0.7990192990667653,,,CR,1964-09-18,Y,GDR,VCL,UNAV,PRCF,CR,1964-09-18,Y,GDR,VCL,UNAV,PRCF
calendar_window,30y,360,1955-1985,1,17064,195512,198512,196103,63,63,0,False,delisted,True,-0.5825295121364844,-0.6245567424583148,,,CR,1961-04-27,Y,MER,FPAY,UNAV,STK,CR,1961-04-27,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17072,195512,198512,197404,220,220,0,False,delisted,True,-0.21311396192610943,-0.5606552954087447,,,CR,1974-05-24,Y,GDR,VCL,BKPY,PRCF,CR,1974-05-24,Y,GDR,VCL,BKPY,PRCF
calendar_window,30y,360,1955-1985,1,17099,195512,198512,196609,129,129,0,False,delisted,True,2.409911032648797,1.7946671460240942,,,CR,1966-10-21,Y,MER,FPAY,UNAV,UNAV,CR,1966-10-21,Y,MER,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17101,195512,198512,196406,102,102,0,False,delisted,True,1.9942969627480056,1.5886180194079533,,,CR,1964-07-21,Y,MER,FPAY,UNAV,STK,CR,1964-07-21,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17128,195512,198512,198512,360,360,0,False,complete,True,3.177187681097534,0.0242326610559378,,,CR,1986-10-30,Y,MER,FPAY,UNAV,STK,CR,1986-10-30,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17136,195512,198512,198003,291,291,0,False,delisted,True,4.444601313957162,0.8216643597259898,,,MP,1980-04-17,Y,MER,FPAY,UNAV,UNAV,MP,1980-04-17,Y,MER,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17144,195512,198512,198512,360,360,0,False,complete,True,32.408634065248215,7.191687035211839,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1955-1985,1,17160,195512,198512,196611,131,131,0,False,delisted,True,-0.7933592548411783,-0.8316725844906864,,,CR,1966-12-09,Y,GDR,VCL,LP,PRCF,CR,1966-12-09,Y,GDR,VCL,LP,PRCF
calendar_window,30y,360,1955-1985,1,17208,195512,198512,195712,24,24,0,False,delisted,True,-0.07257911051302035,-0.12482817470946994,,,DE,1957-12-31,Y,MER,FPAY,UNAV,CNC,DE,1957-12-31,Y,MER,FPAY,UNAV,CNC
calendar_window,30y,360,1955-1985,1,17216,195512,198512,196006,54,54,0,False,delisted,True,0.8166950536302207,0.6448455215300648,,,DE,1960-06-30,Y,MER,FPAY,UNAV,STK,DE,1960-06-30,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17224,195512,198512,198512,360,360,0,False,complete,True,10.351452809542407,1.7833388407661208,,,CR,1988-10-25,Y,MER,FPAY,UNAV,STK,CR,1988-10-25,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17232,195512,198512,197811,275,275,0,False,delisted,True,2.127514040248027,0.24358125042502943,,,CR,1978-12-08,Y,GLI,NFC,UNAV,DW,CR,1978-12-08,Y,GLI,NFC,UNAV,DW
calendar_window,30y,360,1955-1985,1,17240,195512,198512,198512,360,360,0,False,complete,True,15.966277442814597,3.160075347369002,,,CR,1987-07-01,Y,MER,FPAY,UNAV,UNAV,CR,1987-07-01,Y,MER,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17267,195512,198512,197807,271,271,0,False,delisted,True,13.413122458297492,4.879325447220289,,,CR,1978-08-21,Y,MER,FPAY,UNAV,CASH,CR,1978-08-21,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,17291,195512,198512,198512,360,360,0,False,complete,True,29.867198101731343,6.568535307652354,,,CR,1986-11-24,Y,MER,FPAY,UNAV,UNAV,CR,1986-11-24,Y,MER,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17304,195512,198512,198512,360,360,0,False,complete,True,27.377197811716336,5.957995437822494,,,CR,1986-12-30,Y,MER,FPAY,UNAV,CASH,CR,1986-12-30,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,17312,195512,198512,196408,104,104,0,False,delisted,True,0.114344715792835,-0.03663101989522688,,,CR,1964-09-01,Y,MER,FPAY,UNAV,STK,CR,1964-09-01,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17320,195512,198512,196512,120,120,0,False,delisted,True,3.9310249520855605,3.1557065633928616,,,CR,1966-01-07,Y,GDR,VCL,UNAV,PRCF,CR,1966-01-07,Y,GDR,VCL,UNAV,PRCF
calendar_window,30y,360,1955-1985,1,17339,195512,198512,197607,247,247,0,False,delisted,True,-0.29417363147752296,-0.6687189723922524,,,CR,1976-08-13,Y,GDR,VCL,UNAV,PRCF,CR,1976-08-13,Y,GDR,VCL,UNAV,PRCF
calendar_window,30y,360,1955-1985,1,17347,195512,198512,198512,360,360,0,False,complete,True,20.637033024644534,4.3053292320263,,,CR,1987-07-31,Y,MER,FPAY,UNAV,CASH,DE,1987-07-31,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,17398,195512,198512,196204,76,76,0,False,delisted,True,1.0498228378031715,0.8190480812293028,,,DE,1962-04-30,Y,MER,FPAY,UNAV,STK,DE,1962-04-30,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17400,195512,198512,198512,360,360,0,False,complete,True,19.741092355684337,4.085647530945473,,,CR,1986-12-23,Y,GLI,FPAY,UNAV,UNAV,CR,1986-12-23,Y,GLI,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17419,195512,198512,195903,39,39,0,False,delisted,True,-0.10106143010712099,-0.16638222584328144,,,IP,1959-04-03,Y,GDR,VCL,UNAV,PRCF,IP,1959-04-03,Y,GDR,VCL,UNAV,PRCF
calendar_window,30y,360,1955-1985,1,17435,195512,198512,198510,358,358,0,False,delisted,True,-0.24490022938071598,-0.8138300473542145,,,CR,1985-11-15,Y,GDR,VCL,DELQ,PRCF,CR,1985-11-15,Y,GDR,VCL,DELQ,PRCF
calendar_window,30y,360,1955-1985,1,17443,195512,198512,198512,360,360,0,False,complete,True,0.47058347132259826,-0.6394177764735065,,,CR,1997-11-12,Y,GDR,VCL,FING,PRCF,CR,1997-11-12,Y,GDR,VCL,FING,PRCF
calendar_window,30y,360,1955-1985,1,17451,195512,198512,196705,137,137,0,False,delisted,True,1.5655812975994876,1.0710114089056098,,,CR,1967-06-29,Y,MER,FPAY,UNAV,UNAV,CR,1967-06-29,Y,MER,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17478,195512,198512,198512,360,360,0,False,complete,True,60.87722759354065,14.17209240170987,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1955-1985,1,17486,195512,198512,196106,66,66,0,False,delisted,True,0.4954754559678576,0.34492423556840746,,,CR,1961-07-28,Y,MER,FPAY,UNAV,STK,CR,1961-07-28,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17507,195512,198512,195807,31,31,0,False,delisted,True,0.013739676324202588,-0.06316471291418513,,,CR,1958-08-01,Y,GDR,VCL,SHLD,PRCF,CR,1958-08-01,Y,GDR,VCL,SHLD,PRCF
calendar_window,30y,360,1955-1985,1,17515,195512,198512,196804,148,148,0,False,delisted,True,0.7776767509286477,0.38493421293278374,,,CR,1968-05-17,Y,GDR,VCL,INSC,PRCF,CR,1968-05-17,Y,GDR,VCL,INSC,PRCF
calendar_window,30y,360,1955-1985,1,17523,195512,198512,198512,360,360,0,False,complete,True,68.0957121639376,15.942041042941767,,,CR,2019-03-04,Y,MER,FPAY,UNAV,CASH,CR,2019-03-04,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,17558,195512,198512,197906,282,282,0,False,delisted,True,7.445016343155343,2.1303795020271514,,,CR,1979-07-26,Y,MER,FPAY,UNAV,CNC,CR,1979-07-26,Y,MER,FPAY,UNAV,CNC
calendar_window,30y,360,1955-1985,1,17566,195512,198512,198512,360,360,0,False,complete,True,1.4648342581024,-0.3956307583060893,,,CR,1999-09-30,Y,MER,FPAY,UNAV,STK,DE,1999-09-30,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17582,195512,198512,196308,92,92,0,False,delisted,True,0.7086421282026405,0.49158335621598503,,,DE,1963-08-30,Y,MER,FPAY,UNAV,CNC,DE,1963-08-30,Y,MER,FPAY,UNAV,CNC
calendar_window,30y,360,1955-1985,1,17590,195512,198512,198512,360,360,0,False,complete,True,21.048921997100223,4.4063230514390455,,,CR,1987-07-30,Y,GEX,FPAY,UNAV,UNAV,CR,1987-07-30,Y,GEX,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17603,195512,198512,196106,66,66,0,False,delisted,True,1.0748582752008553,0.8659799253484195,,,CR,1961-07-28,Y,GDR,VCL,UNAV,PRCF,CR,1961-07-28,Y,GDR,VCL,UNAV,PRCF
calendar_window,30y,360,1955-1985,1,17646,195512,198512,198512,360,360,0,False,complete,True,0.42416741612596454,-0.6507988403277589,,,CR,1986-12-04,Y,GEX,FPAY,UNAV,UNAV,CR,1986-12-04,Y,GEX,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17654,195512,198512,196708,140,140,0,False,delisted,True,3.6732453230126056,2.7385962584100825,,,CR,1967-09-21,Y,MER,FPAY,UNAV,STK,CR,1967-09-21,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17670,195512,198512,198309,333,333,0,False,delisted,True,8.159966968539601,1.4378065020542357,,,DE,1983-09-30,Y,GEX,FPAY,UNAV,UNAV,DE,1983-09-30,Y,GEX,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17689,195512,198512,196312,96,96,0,False,delisted,True,-0.40258041280973234,-0.48184967842397497,,,DE,1963-12-31,Y,MER,FPAY,UNAV,STK,DE,1963-12-31,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17718,195512,198512,196802,146,146,0,False,delisted,True,0.23798190966855226,-0.02988552107844411,,,CR,1968-03-27,Y,MER,FPAY,UNAV,CNC,CR,1968-03-27,Y,MER,FPAY,UNAV,CNC
calendar_window,30y,360,1955-1985,1,17726,195512,198512,198512,360,360,0,False,complete,True,102.77236475957947,24.44464204534983,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1955-1985,1,17734,195512,198512,196801,145,145,0,False,delisted,True,1.7963008996862007,1.1976792994601198,,,DE,1968-01-31,Y,MER,FPAY,UNAV,CNC,DE,1968-01-31,Y,MER,FPAY,UNAV,CNC
calendar_window,30y,360,1955-1985,1,17742,195512,198512,197904,280,280,0,False,delisted,True,48.53709831004438,17.80445091656078,,,CR,1979-05-04,Y,MER,FPAY,UNAV,CASH,CR,1979-05-04,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,17750,195512,198512,198512,360,360,0,False,complete,True,21.01058504692976,4.39692295752715,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1955-1985,1,17777,195512,198512,196712,144,144,0,False,delisted,True,6.019560697795118,4.549387218315917,,,DE,1967-12-29,Y,MER,FPAY,UNAV,CNC,DE,1967-12-29,Y,MER,FPAY,UNAV,CNC
calendar_window,30y,360,1955-1985,1,17806,195512,198512,198512,360,360,0,False,complete,True,2.1275972238669185,-0.233123462034458,,,CR,2007-03-19,Y,MER,FPAY,UNAV,CST,CR,2007-03-19,Y,MER,FPAY,UNAV,CST
calendar_window,30y,360,1955-1985,1,17814,195512,198512,198512,360,360,0,False,complete,True,-0.15154826765919094,-0.7919624297645587,,,CR,1986-06-27,Y,GDR,VCL,FING,PRCF,CR,1986-06-27,Y,GDR,VCL,FING,PRCF
calendar_window,30y,360,1955-1985,1,17822,195512,198512,198512,360,360,0,False,complete,True,12.143106714967082,2.222646477228896,,,CR,1986-02-26,Y,GEX,FPAY,UNAV,UNAV,CR,1986-02-26,Y,GEX,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17830,195512,198512,198512,360,360,0,False,complete,True,15.52749174048762,3.0524865383812383,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1955-1985,1,17849,195512,198512,197712,264,264,0,False,delisted,True,4.959680880073871,1.5719717807726221,,,CR,1978-01-27,Y,MER,FPAY,UNAV,CASH,CR,1978-01-27,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,17865,195512,198512,197107,187,187,0,False,delisted,True,0.3442515248115947,-0.1148417477899083,,,CR,1971-08-13,Y,MER,FPAY,UNAV,STK,CR,1971-08-13,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,17881,195512,198512,196301,85,85,0,False,delisted,True,-0.17720080749876832,-0.2746375539791768,,,IP,1963-02-08,Y,GDR,VCL,SHLD,PRCF,IP,1963-02-08,Y,GDR,VCL,SHLD,PRCF
calendar_window,30y,360,1955-1985,1,17902,195512,198512,198512,360,360,0,False,complete,True,15.749138332857672,3.1068335527958526,,,CR,1998-06-04,Y,MER,FPAY,UNAV,CASH,CR,1998-06-04,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,17910,195512,198512,196802,146,146,0,False,delisted,True,2.453582027596292,1.7063157409234142,,,CR,1973-09-07,Y,MER,FPAY,UNAV,UNAV,CR,1973-09-07,Y,MER,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,17929,195512,198512,198512,360,360,0,False,complete,True,11.331963049703594,2.0237567221597232,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1955-1985,1,17945,195512,198512,196206,78,78,0,False,delisted,True,0.32666563557166595,0.17730592825564906,,,CR,1962-07-27,Y,GDR,VCL,SHLD,PRCF,CR,1962-07-27,Y,GDR,VCL,SHLD,PRCF
calendar_window,30y,360,1955-1985,1,17953,195512,198512,198512,360,360,0,False,complete,True,39.89556819159014,9.02745862337251,,,CR,1986-04-17,Y,MER,FPAY,UNAV,CSHN,CR,1986-04-17,Y,MER,FPAY,UNAV,CSHN
calendar_window,30y,360,1955-1985,1,17961,195512,198512,198512,360,360,0,False,complete,True,34.32369749358697,7.66125428022079,,,CR,2020-07-20,Y,GDR,VCL,BKPY,PRCF,CR,2020-07-20,Y,GDR,VCL,BKPY,PRCF
calendar_window,30y,360,1955-1985,1,18008,195512,198512,195911,47,47,0,False,delisted,True,0.4493800265414929,0.3212035616092508,,,DE,1959-11-30,Y,MER,FPAY,UNAV,CNC,DE,1959-11-30,Y,MER,FPAY,UNAV,CNC
calendar_window,30y,360,1955-1985,1,18016,195512,198512,198512,360,360,0,False,complete,True,8.340693675147708,1.2903073238239653,,,CR,2008-11-13,Y,MER,FPAY,UNAV,CST,CR,2008-11-13,Y,MER,FPAY,UNAV,CST
calendar_window,30y,360,1955-1985,1,18024,195512,198512,195612,12,12,0,False,delisted,True,0.19667284033031596,0.16198667104537945,,,CR,1957-01-25,Y,GDR,VCL,UNAV,PRCF,CR,1957-01-25,Y,GDR,VCL,UNAV,PRCF
calendar_window,30y,360,1955-1985,1,18032,195512,198512,198512,360,360,0,False,complete,True,5.5867946103762485,0.6150603436238276,,,CR,1995-12-12,Y,MER,FPAY,UNAV,STK,CR,1995-12-12,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1955-1985,1,18040,195512,198512,196304,88,88,0,False,delisted,True,1.8902930236930873,1.5396673126221216,,,CR,1963-05-02,Y,GLI,FPAY,UNAV,UNAV,CR,1963-05-02,Y,GLI,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,18067,195512,198512,198512,360,360,0,False,complete,True,13.011860155991902,2.435661959566176,,,CR,1998-05-21,Y,GDR,VCL,FING,PRCF,CR,1998-05-21,Y,GDR,VCL,FING,PRCF
calendar_window,30y,360,1955-1985,1,18075,195512,198512,198512,360,360,0,False,complete,True,5.374108828730253,0.5629104904846398,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1955-1985,1,18091,195512,198512,198512,360,360,0,False,complete,True,5.984678560963745,0.71262017780264,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1955-1985,1,18112,195512,198512,198512,360,360,0,False,complete,True,33.83664599608744,7.541830857229142,,,CR,2014-12-03,Y,MER,FPAY,UNAV,CST,CR,2014-12-03,Y,MER,FPAY,UNAV,CST
calendar_window,30y,360,1955-1985,1,18147,195512,198512,198512,360,360,0,False,complete,True,4.897628793825712,0.4460791553021892,,,CR,1999-04-09,Y,MER,FPAY,UNAV,CASH,CR,1999-04-09,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,18155,195512,198512,196006,54,54,0,False,delisted,True,0.7231011138116146,0.5601050625051114,,,CR,1960-07-11,Y,GLI,FPAY,UNAV,UNAV,CR,1960-07-11,Y,GLI,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,18163,195512,198512,198512,360,360,0,False,complete,True,26.83068245975314,5.823991673571685,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1955-1985,1,18171,195512,198512,196706,138,138,0,False,delisted,True,0.6938714920021065,0.36323591548518075,,,CR,1967-07-28,Y,MER,FPAY,UNAV,UNAV,CR,1967-07-28,Y,MER,FPAY,UNAV,UNAV
calendar_window,30y,360,1955-1985,1,18198,195512,198512,198512,360,360,0,False,complete,True,30.16756290612709,6.642183768382502,,,CR,2000-05-08,Y,GDR,VCL,BKPY,PRCF,CR,2000-05-08,Y,GDR,VCL,BKPY,PRCF
calendar_window,30y,360,1955-1985,1,18200,195512,198512,198511,359,359,0,False,delisted,True,53.93948115903307,12.508055918000853,,,CR,1985-12-27,Y,MER,FPAY,UNAV,CSHN,CR,1985-12-27,Y,MER,FPAY,UNAV,CSHN
calendar_window,30y,360,1955-1985,1,18243,195512,198512,197405,221,221,0,False,delisted,True,1.0995938178736204,0.15780070615253394,,,MP,1974-06-10,Y,GDR,VCL,MVCHI,PRCF,MP,1974-06-10,Y,GDR,VCL,MVCHI,PRCF
calendar_window,30y,360,1955-1985,1,18251,195512,198512,198512,360,360,0,False,complete,True,6.069676472024944,0.7334613856383239,,,CR,1986-06-27,Y,MER,FPAY,UNAV,CASH,CR,1986-06-27,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,18278,195512,198512,198512,360,360,0,False,complete,True,11.825625013486153,2.144801009711157,,,CR,1992-06-26,Y,GDR,VCL,BKPY,PRCF,CR,1992-06-26,Y,GDR,VCL,BKPY,PRCF
calendar_window,30y,360,1955-1985,1,18286,195512,198512,198512,360,360,0,False,complete,True,1.6981005341623256,-0.33843463572231935,,,CR,2006-01-04,Y,MER,FPAY,UNAV,CASH,CR,2006-01-04,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,18315,195512,198512,198512,360,360,0,False,complete,True,1.1152458992878072,-0.48134867245275836,,,CR,1990-05-11,Y,MER,FPAY,UNAV,CASH,CR,1990-05-11,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1955-1985,1,18323,195512,198512,195808,32,32,0,False,delisted,True,-0.15355926397054376,-0.2150653382148986,,,MP,1958-09-26,Y,GDR,VCL,UNAV,PRCF,MP,1958-09-26,Y,GDR,VCL,UNAV,PRCF
