YYYYMM,CPI
196212,30.4
196301,30.4
196302,30.4
196303,30.5
196304,30.5
196305,30.5
196306,30.6
196307,30.7
196308,30.7
196309,30.7
196310,30.8
196311,30.8
196312,30.9
196401,30.9
196402,30.9
196403,30.9
196404,30.9
196405,30.9
196406,31.0
196407,31.1
196408,31.0
196409,31.1
196410,31.1
196411,31.2
196412,31.2
196501,31.2
196502,31.2
196503,31.3
196504,31.4
196505,31.4
196506,31.6
196507,31.6
196508,31.6
196509,31.6
196510,31.7
196511,31.7
196512,31.8
196601,31.8
196602,32.0
196603,32.1
196604,32.3
196605,32.3
196606,32.4
196607,32.5
196608,32.7
196609,32.7
196610,32.9
196611,32.9
196612,32.9
196701,32.9
196702,32.9
196703,33.0
196704,33.1
196705,33.2
196706,33.3
196707,33.4
196708,33.5
196709,33.6
196710,33.7
196711,33.8
196712,33.9
196801,34.1
196802,34.2
196803,34.3
196804,34.4
196805,34.5
196806,34.7
196807,34.9
196808,35.0
196809,35.1
196810,35.3
196811,35.4
196812,35.5
196901,35.6
196902,35.8
196903,36.1
196904,36.3
196905,36.4
196906,36.6
196907,36.8
196908,37.0
196909,37.1
196910,37.3
196911,37.5
196912,37.7
197001,37.8
197002,38.0
197003,38.2
197004,38.5
197005,38.6
197006,38.8
197007,39.0
197008,39.0
197009,39.2
197010,39.4
197011,39.6
197012,39.8
197101,39.8
197102,39.9
197103,40.0
197104,40.1
197105,40.3
197106,40.6
197107,40.7
197108,40.8
197109,40.8
197110,40.9
197111,40.9
197112,41.1
197201,41.1
197202,41.3
197203,41.4
197204,41.5
197205,41.6
197206,41.7
197207,41.9
197208,42.0
197209,42.1
197210,42.3
197211,42.4
197212,42.5
197301,42.6
197302,42.9
197303,43.3
197304,43.6
197305,43.9
197306,44.2
197307,44.3
197308,45.1
197309,45.2
197310,45.6
197311,45.9
197312,46.2
197401,46.6
197402,47.2
197403,47.8
197404,48.0
197405,48.6
197406,49.0
197407,49.4
197408,50.0
197409,50.6
197410,51.1
197411,51.5
197412,51.9
197501,52.1
197502,52.5
197503,52.7
197504,52.9
197505,53.2
197506,53.6
197507,54.2
197508,54.3
197509,54.6
197510,54.9
197511,55.3
197512,55.5
197601,55.6
197602,55.8
197603,55.9
197604,56.1
197605,56.5
197606,56.8
197607,57.1
197608,57.4
197609,57.6
197610,57.9
197611,58.0
197612,58.2
197701,58.5
197702,59.1
197703,59.5
197704,60.0
197705,60.3
197706,60.7
197707,61.0
197708,61.2
197709,61.4
197710,61.6
197711,61.9
197712,62.1
197801,62.5
197802,62.9
197803,63.4
197804,63.9
197805,64.5
197806,65.2
197807,65.7
197808,66.0
197809,66.5
197810,67.1
197811,67.4
197812,67.7
197901,68.3
197902,69.1
197903,69.8
197904,70.6
197905,71.5
197906,72.3
197907,73.1
197908,73.8
197909,74.6
197910,75.2
197911,75.9
197912,76.7
198001,77.8
198002,78.9
198003,80.1
198004,81.0
198005,81.8
198006,82.7
198007,82.7
198008,83.3
198009,84.0
198010,84.8
198011,85.5
198012,86.3
198101,87.0
198102,87.9
198103,88.5
198104,89.1
198105,89.8
198106,90.6
198107,91.6
198108,92.3
198109,93.2
198110,93.4
198111,93.7
198112,94.0
198201,94.3
198202,94.6
198203,94.5
198204,94.9
198205,95.8
198206,97.0
198207,97.5
198208,97.7
198209,97.9
198210,98.2
198211,98.0
198212,97.6
198301,97.8
198302,97.9
198303,97.9
198304,98.6
198305,99.2
198306,99.5
198307,99.9
198308,100.2
198309,100.7
198310,101.0
198311,101.2
198312,101.3
198401,101.9
198402,102.4
198403,102.6
198404,103.1
198405,103.4
198406,103.7
198407,104.1
198408,104.5
198409,105.0
198410,105.3
198411,105.3
198412,105.3
198501,105.5
198502,106.0
198503,106.4
198504,106.9
198505,107.3
198506,107.6
198507,107.8
198508,108.0
198509,108.3
198510,108.7
198511,109.0
198512,109.3
198601,109.6
198602,109.3
198603,108.8
198604,108.6
198605,108.9
198606,109.5
198607,109.5
198608,109.7
198609,110.2
198610,110.3
198611,110.4
198612,110.5
198701,111.2
198702,111.6
198703,112.1
198704,112.7
198705,113.1
198706,113.5
198707,113.8
198708,114.4
198709,115.0
198710,115.3
198711,115.4
198712,115.4
198801,115.7
198802,116.0
198803,116.5
198804,117.1
198805,117.5
198806,118.0
198807,118.5
198808,119.0
198809,119.8
198810,120.2
198811,120.3
198812,120.5
198901,121.1
198902,121.6
198903,122.3
198904,123.1
198905,123.8
198906,124.1
198907,124.4
198908,124.6
198909,125.0
198910,125.6
198911,125.9
198912,126.1
199001,127.4
199002,128.0
199003,128.7
199004,128.9
199005,129.2
199006,129.9
199007,130.4
199008,131.6
199009,132.7
199010,133.5
199011,133.8
199012,133.8
199101,134.6
199102,134.8
199103,135.0
199104,135.2
199105,135.6
199106,136.0
199107,136.2
199108,136.6
199109,137.2
199110,137.4
199111,137.8
199112,137.9
199201,138.1
199202,138.6
199203,139.3
199204,139.5
199205,139.7
199206,140.2
199207,140.5
199208,140.9
199209,141.3
199210,141.8
199211,142.0
199212,141.9
199301,142.6
199302,143.1
199303,143.6
199304,144.0
199305,144.2
199306,144.4
199307,144.4
199308,144.8
199309,145.1
199310,145.7
199311,145.8
199312,145.8
199401,146.2
199402,146.7
199403,147.2
199404,147.4
199405,147.5
199406,148.0
199407,148.4
199408,149.0
199409,149.4
199410,149.5
199411,149.7
199412,149.7
199501,150.3
199502,150.9
199503,151.4
199504,151.9
199505,152.2
199506,152.5
199507,152.5
199508,152.9
199509,153.2
199510,153.7
199511,153.6
199512,153.5
199601,154.4
199602,154.9
199603,155.7
199604,156.3
199605,156.6
199606,156.7
199607,157.0
199608,157.3
199609,157.8
199610,158.3
199611,158.6
199612,158.6
199701,159.1
199702,159.6
199703,160.0
199704,160.2
199705,160.1
199706,160.3
199707,160.5
199708,160.8
199709,161.2
199710,161.6
199711,161.5
199712,161.3
199801,161.6
199802,161.9
199803,162.2
199804,162.5
199805,162.8
199806,163.0
199807,163.2
199808,163.4
199809,163.6
199810,164.0
199811,164.0
199812,163.9
199901,164.3
199902,164.5
199903,165.0
199904,166.2
199905,166.2
199906,166.2
199907,166.7
199908,167.1
199909,167.9
199910,168.2
199911,168.3
199912,168.3
200001,168.8
200002,169.8
200003,171.2
200004,171.3
200005,171.5
200006,172.4
200007,172.8
200008,172.8
200009,173.7
200010,174.0
200011,174.1
200012,174.0
200101,175.1
200102,175.8
200103,176.2
200104,176.9
200105,177.7
200106,178.0
200107,177.5
200108,177.5
200109,178.3
200110,177.7
200111,177.4
200112,176.7
200201,177.1
200202,177.8
200203,178.8
200204,179.8
200205,179.8
200206,179.9
200207,180.1
200208,180.7
200209,181.0
200210,181.3
200211,181.3
200212,180.9
200301,181.7
200302,183.1
200303,184.2
200304,183.8
200305,183.5
200306,183.7
200307,183.9
200308,184.6
200309,185.2
200310,185.0
200311,184.5
200312,184.3
200401,185.2
200402,186.2
200403,187.4
200404,188.0
200405,189.1
200406,189.7
200407,189.4
200408,189.5
200409,189.9
200410,190.9
200411,191.0
200412,190.3
200501,190.7
200502,191.8
200503,193.3
200504,194.6
200505,194.4
200506,194.5
200507,195.4
200508,196.4
200509,198.8
200510,199.2
200511,197.6
200512,196.8
200601,198.3
200602,198.7
200603,199.8
200604,201.5
200605,202.5
200606,202.9
200607,203.5
200608,203.9
200609,202.9
200610,201.8
200611,201.5
200612,201.8
200701,202.4
200702,203.5
200703,205.4
200704,206.7
200705,207.9
200706,208.4
200707,208.3
200708,207.9
200709,208.5
200710,208.9
200711,210.2
200712,210.0
200801,211.1
200802,211.7
200803,213.5
200804,214.8
200805,216.6
200806,218.8
200807,219.964
200808,219.086
200809,218.783
200810,216.573
200811,212.425
200812,210.228
200901,211.143
200902,212.193
200903,212.709
200904,213.24
200905,213.856
200906,215.693
200907,215.351
200908,215.834
200909,215.969
200910,216.177
200911,216.33
200912,215.949
201001,216.687
201002,216.741
201003,217.631
201004,218.009
201005,218.178
201006,217.965
201007,218.011
201008,218.312
201009,218.439
201010,218.711
201011,218.803
201012,219.179
201101,220.223
201102,221.309
201103,223.467
201104,224.906
201105,225.964
201106,225.722
201107,225.922
201108,226.545
201109,226.889
201110,226.421
201111,226.23
201112,225.672
201201,226.655
201202,227.663
201203,229.392
201204,230.085
201205,229.815
201206,229.478
201207,229.104
201208,230.379
201209,231.407
201210,231.317
201211,230.221
201212,229.601
201301,230.28
201302,232.166
201303,232.773
201304,232.531
201305,232.945
201306,233.504
201307,233.596
201308,233.877
